ROWID,COMPID,SUB,LEAD01,LEAD02,LEAD03,LEAD04,LEAD05,LEAD06,LEAD07,LEAD08,LEAD09,LEAD10,LEAD11,TSIG01,TSIG02,TSIG03,HOSTIL01,HOSTIL02,HOSTIL03,HOSTIL04,HOSTIL05,LEAD,TSIG,HOSTILE,GLEAD,GTSIG,GHOSTILE
489,18,489,3,3,4,4,4,4,4,4,1,4,4,4,4,2,3,0,0,0,0,3.545454545,3.333333333,.6,3.096711799,3.124113475,.710638298
490,18,490,4,4,1,5,5,1,3,5,4,3,5,4,4,5,1,0,3,2,1,3.636363636,4.333333333,1.4,3.096711799,3.124113475,.710638298
491,18,491,5,5,5,5,4,5,5,5,5,5,5,5,5,5,0,0,0,0,0,4.909090909,5,0,3.096711799,3.124113475,.710638298
492,18,492,4,4,1,3,3,3,4,4,4,4,4,4,4,4,0,0,0,0,0,3.454545455,4,0,3.096711799,3.124113475,.710638298
493,18,493,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,4,0,0,4,4,.8,3.096711799,3.124113475,.710638298
494,18,494,4,4,5,5,4,4,5,5,4,4,5,5,4,4,1,1,0,0,1,4.454545455,4.333333333,.6,3.096711799,3.124113475,.710638298
495,18,495,5,5,2,2,3,3,2,2,2,2,3,2,4,4,0,0,0,0,0,2.818181818,3.333333333,0,3.096711799,3.124113475,.710638298
496,18,496,3,4,3,2,3,1,3,3,3,3,2,5,4,5,3,2,0,1,1,2.727272727,4.666666667,1.4,3.096711799,3.124113475,.710638298
497,18,497,3,4,1,1,2,4,1,2,1,2,1,1,1,1,3,0,0,0,0,2,1,.6,3.096711799,3.124113475,.710638298
498,18,498,5,2,3,2,4,1,5,3,5,1,1,1,5,4,0,0,3,0,0,2.909090909,3.333333333,.6,3.096711799,3.124113475,.710638298
499,18,499,3,3,3,2,3,3,1,3,2,3,4,2,2,3,0,0,0,0,0,2.727272727,2.333333333,0,3.096711799,3.124113475,.710638298
500,18,500,4,4,5,5,5,4,5,5,5,5,5,5,5,5,0,0,0,0,0,4.727272727,5,0,3.096711799,3.124113475,.710638298
501,18,501,4,5,1,2,1,5,4,5,4,4,2,1,2,2,2,2,4,4,0,3.363636364,1.666666667,2.4,3.096711799,3.124113475,.710638298
502,18,502,3,4,3,4,3,3,4,4,4,4,4,3,3,3,2,1,0,0,0,3.636363636,3,.6,3.096711799,3.124113475,.710638298
503,18,503,4,4,2,1,1,4,1,4,2,5,1,4,1,1,0,0,0,0,0,2.636363636,2,0,3.096711799,3.124113475,.710638298
504,18,504,4,1,1,1,3,2,4,3,4,4,2,4,5,4,1,0,0,0,0,2.636363636,4.333333333,.2,3.096711799,3.124113475,.710638298
505,18,505,4,4,1,2,2,3,2,3,3,4,3,1,2,4,4,1,1,1,2,2.818181818,2.333333333,1.8,3.096711799,3.124113475,.710638298
506,18,506,4,4,2,4,3,4,2,5,2,5,2,4,4,4,1,0,0,0,1,3.363636364,4,.4,3.096711799,3.124113475,.710638298
507,18,507,3,5,1,1,3,3,1,3,1,1,2,1,1,1,1,0,0,0,0,2.181818182,1,.2,3.096711799,3.124113475,.710638298
508,18,508,3,3,1,1,1,1,1,1,1,1,1,2,2,4,4,1,4,4,1,1.363636364,2.666666667,2.8,3.096711799,3.124113475,.710638298
509,18,509,4,4,4,4,4,4,4,2,4,2,3,1,1,1,0,0,0,0,0,3.545454545,1,0,3.096711799,3.124113475,.710638298
510,18,510,2,2,2,3,2,3,3,3,3,4,3,1,4,4,2,2,3,3,0,2.727272727,3,2,3.096711799,3.124113475,.710638298
511,18,511,5,4,2,4,4,4,4,4,4,4,4,4,5,4,0,0,0,0,0,3.909090909,4.333333333,0,3.096711799,3.124113475,.710638298
512,18,512,3,3,1,1,1,1,1,1,1,1,1,1,3,1,4,0,2,0,4,1.363636364,1.666666667,2,3.096711799,3.124113475,.710638298
513,18,513,4,4,3,5,3,4,4,4,4,4,5,4,4,4,0,0,0,0,0,4,4,0,3.096711799,3.124113475,.710638298
514,18,514,5,5,3,5,3,3,4,4,4,4,4,3,3,3,1,0,0,0,0,4,3,.2,3.096711799,3.124113475,.710638298
515,18,515,4,4,4,4,4,4,5,5,5,5,4,5,5,5,0,0,0,0,0,4.363636364,5,0,3.096711799,3.124113475,.710638298
516,18,516,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,0,3.096711799,3.124113475,.710638298
517,18,517,1,1,1,1,1,1,1,1,1,1,1,3,3,3,0,0,2,0,0,1,3,.4,3.096711799,3.124113475,.710638298
518,18,518,4,4,2,4,3,3,2,4,3,4,3,4,4,4,0,0,0,0,0,3.272727273,4,0,3.096711799,3.124113475,.710638298
519,18,519,5,4,1,2,1,2,4,2,4,2,2,4,4,4,1,0,0,0,0,2.636363636,4,.2,3.096711799,3.124113475,.710638298
520,18,520,4,4,2,4,2,4,2,4,2,4,2,1,2,1,3,0,1,0,0,3.090909091,1.333333333,.8,3.096711799,3.124113475,.710638298
521,18,521,4,4,2,2,2,4,3,4,2,3,2,4,3,4,3,0,2,0,0,2.909090909,3.666666667,1,3.096711799,3.124113475,.710638298
522,18,522,3,3,2,2,3,3,2,4,3,3,4,3,2,1,4,2,2,2,2,2.909090909,2,2.4,3.096711799,3.124113475,.710638298
523,18,523,3,5,3,5,3,4,5,5,5,5,4,5,5,5,0,0,0,0,0,4.272727273,5,0,3.096711799,3.124113475,.710638298
524,18,524,4,5,1,4,3,3,3,4,4,4,2,2,4,4,2,0,0,0,1,3.363636364,3.333333333,.6,3.096711799,3.124113475,.710638298
525,18,525,3,4,1,2,2,4,3,3,2,2,2,1,2,3,3,1,4,3,1,2.545454545,2,2.4,3.096711799,3.124113475,.710638298
526,18,526,1,1,1,2,2,3,1,1,1,1,3,1,2,3,4,4,4,3,2,1.545454545,2,3.4,3.096711799,3.124113475,.710638298
527,18,527,4,4,3,4,2,4,3,4,3,4,4,3,5,5,2,0,1,0,2,3.545454545,4.333333333,1,3.096711799,3.124113475,.710638298
528,18,528,3,4,2,2,3,4,3,4,4,4,3,5,5,5,1,0,0,0,0,3.272727273,5,.2,3.096711799,3.124113475,.710638298
529,18,529,4,4,2,4,2,4,3,4,3,4,4,4,4,4,1,1,1,0,0,3.454545455,4,.6,3.096711799,3.124113475,.710638298
530,18,530,1,2,1,1,1,1,1,1,1,1,1,2,1,3,4,0,0,0,0,1.090909091,2,.8,3.096711799,3.124113475,.710638298
531,18,531,1,1,1,3,1,1,1,1,1,1,1,4,3,4,3,0,0,0,0,1.181818182,3.666666667,.6,3.096711799,3.124113475,.710638298
532,18,532,2,2,1,1,1,1,1,1,2,2,2,3,3,3,0,0,0,0,0,1.454545455,3,0,3.096711799,3.124113475,.710638298
533,18,533,5,5,3,4,2,3,2,2,2,2,3,2,2,3,1,0,0,0,0,3,2.333333333,.2,3.096711799,3.124113475,.710638298
534,18,534,4,4,2,1,4,2,3,1,4,1,2,3,3,3,1,0,0,0,2,2.545454545,3,.6,3.096711799,3.124113475,.710638298
535,18,535,4,4,2,4,3,3,4,3,4,2,3,4,4,4,3,0,0,0,0,3.272727273,4,.6,3.096711799,3.124113475,.710638298
536,18,536,2,2,1,1,3,3,4,4,4,4,1,2,4,4,3,1,0,0,0,2.636363636,3.333333333,.8,3.096711799,3.124113475,.710638298
537,18,537,2,2,2,4,3,3,4,4,2,2,2,2,2,3,2,1,3,2,0,2.727272727,2.333333333,1.6,3.096711799,3.124113475,.710638298
538,18,538,4,2,1,1,4,1,3,1,3,1,1,3,4,4,2,1,4,4,2,2,3.666666667,2.6,3.096711799,3.124113475,.710638298
539,18,539,4,4,3,4,3,3,4,4,4,4,4,4,3,4,1,0,0,0,0,3.727272727,3.666666667,.2,3.096711799,3.124113475,.710638298
540,18,540,3,4,1,2,1,1,4,1,2,1,1,4,4,5,1,1,0,0,1,1.909090909,4.333333333,.6,3.096711799,3.124113475,.710638298
541,18,541,5,5,4,4,5,5,5,5,5,4,5,5,5,5,0,0,0,0,0,4.727272727,5,0,3.096711799,3.124113475,.710638298
542,18,542,4,4,4,4,4,5,4,4,4,4,4,2,4,5,0,0,1,0,0,4.090909091,3.666666667,.2,3.096711799,3.124113475,.710638298
543,18,543,4,4,5,4,5,5,4,4,5,5,5,4,4,5,1,1,0,0,0,4.545454545,4.333333333,.4,3.096711799,3.124113475,.710638298
544,18,544,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,1,0,1,0,3.909090909,4,.8,3.096711799,3.124113475,.710638298
545,18,545,4,3,4,3,3,3,4,4,3,3,4,4,3,3,3,1,1,0,0,3.454545455,3.333333333,1,3.096711799,3.124113475,.710638298
546,18,546,4,4,3,1,3,2,2,2,2,2,2,2,2,2,1,0,1,1,0,2.454545455,2,.6,3.096711799,3.124113475,.710638298
547,18,547,4,4,4,2,5,5,4,4,4,4,4,1,2,1,2,1,0,0,1,4,1.333333333,.8,3.096711799,3.124113475,.710638298
548,18,548,4,4,3,3,3,3,4,4,4,4,4,3,4,4,2,1,0,1,0,3.636363636,3.666666667,.8,3.096711799,3.124113475,.710638298
549,18,549,4,4,4,4,4,3,4,4,4,4,4,4,4,4,0,0,0,0,0,3.909090909,4,0,3.096711799,3.124113475,.710638298
550,18,550,4,4,4,4,4,4,3,4,3,4,4,3,4,4,0,0,0,0,0,3.818181818,3.666666667,0,3.096711799,3.124113475,.710638298
551,18,551,3,2,3,3,3,3,1,2,1,1,3,1,2,1,4,0,0,1,2,2.272727273,1.333333333,1.4,3.096711799,3.124113475,.710638298
552,18,552,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,0,0,0,4,4,.8,3.096711799,3.124113475,.710638298
553,18,553,3,3,4,4,5,5,4,4,3,3,4,3,4,3,0,0,0,0,0,3.818181818,3.333333333,0,3.096711799,3.124113475,.710638298
554,18,554,2,2,1,4,4,4,4,4,4,4,3,1,1,1,0,0,2,3,0,3.272727273,1,1,3.096711799,3.124113475,.710638298
555,18,555,4,4,2,4,3,3,4,4,3,3,4,3,4,4,1,0,2,1,0,3.454545455,3.666666667,.8,3.096711799,3.124113475,.710638298
556,18,556,4,4,4,5,3,5,1,4,1,4,4,3,4,3,3,0,0,0,1,3.545454545,3.333333333,.8,3.096711799,3.124113475,.710638298
557,18,557,2,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,0,0,0,2.818181818,3,.4,3.096711799,3.124113475,.710638298
558,18,558,4,4,4,5,4,4,4,4,4,4,4,4,4,4,1,0,1,1,1,4.090909091,4,.8,3.096711799,3.124113475,.710638298
559,19,559,4,4,3,4,2,4,2,2,3,3,2,3,4,4,1,1,0,0,0,3,3.666666667,.4,3.125874126,3.615384615,.923076923
560,19,560,2,2,1,1,1,2,2,2,2,2,1,2,2,4,4,4,4,4,2,1.636363636,2.666666667,3.6,3.125874126,3.615384615,.923076923
561,19,561,3,3,2,2,3,3,3,4,4,4,3,3,3,2,3,1,1,1,1,3.090909091,2.666666667,1.4,3.125874126,3.615384615,.923076923
562,19,562,2,5,2,1,3,5,1,5,1,4,2,3,4,3,2,2,0,1,0,2.818181818,3.333333333,1,3.125874126,3.615384615,.923076923
563,19,563,3,4,2,4,3,3,2,2,2,4,3,2,2,4,0,0,0,0,0,2.909090909,2.666666667,0,3.125874126,3.615384615,.923076923
564,19,564,1,4,3,2,2,4,2,3,2,3,3,4,4,4,0,0,0,0,0,2.636363636,4,0,3.125874126,3.615384615,.923076923
565,19,565,3,3,2,3,3,3,4,4,2,2,3,5,5,5,1,1,2,2,4,2.909090909,5,2,3.125874126,3.615384615,.923076923
566,19,566,4,4,4,4,3,3,4,4,4,4,4,4,4,4,1,0,0,0,0,3.818181818,4,.2,3.125874126,3.615384615,.923076923
567,19,567,5,4,4,4,4,4,4,4,3,3,4,4,3,3,1,0,1,0,0,3.909090909,3.333333333,.4,3.125874126,3.615384615,.923076923
568,19,568,5,4,4,4,5,5,5,4,4,4,5,4,4,4,2,1,4,2,0,4.454545455,4,1.8,3.125874126,3.615384615,.923076923
569,19,569,4,4,3,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,3.909090909,4,0,3.125874126,3.615384615,.923076923
570,19,570,3,3,1,3,3,3,2,4,1,1,2,5,5,5,1,1,2,0,0,2.363636364,5,.8,3.125874126,3.615384615,.923076923
571,19,571,4,4,3,3,3,3,3,3,3,3,3,2,3,3,0,0,1,1,0,3.181818182,2.666666667,.4,3.125874126,3.615384615,.923076923
572,20,572,4,4,4,4,4,3,4,3,3,3,4,1,2,1,2,1,2,2,0,3.636363636,1.333333333,1.4,2.795454545,2.867647059,1.520588235
573,20,573,3,4,2,2,3,4,3,3,2,3,4,4,3,3,2,0,0,0,0,3,3.333333333,.4,2.795454545,2.867647059,1.520588235
574,20,574,5,5,2,3,3,4,4,3,2,2,1,4,4,4,0,0,1,0,0,3.090909091,4,.2,2.795454545,2.867647059,1.520588235
575,20,575,3,3,2,2,3,2,3,2,1,1,2,4,4,4,0,0,1,0,0,2.181818182,4,.2,2.795454545,2.867647059,1.520588235
576,20,576,2,4,3,3,3,4,2,4,3,4,3,1,3,2,4,3,4,4,2,3.181818182,2,3.4,2.795454545,2.867647059,1.520588235
577,20,577,3,2,4,4,4,4,4,4,4,4,3,2,2,3,3,3,3,3,0,3.636363636,2.333333333,2.4,2.795454545,2.867647059,1.520588235
578,20,578,1,5,1,3,3,4,2,3,2,3,2,1,1,1,4,0,0,0,0,2.636363636,1,.8,2.795454545,2.867647059,1.520588235
579,20,579,2,2,1,3,2,3,1,4,1,2,1,1,1,1,4,3,4,4,4,2,1,3.8,2.795454545,2.867647059,1.520588235
580,20,580,4,4,1,1,1,4,3,3,5,5,4,4,4,5,2,1,4,4,0,3.181818182,4.333333333,2.2,2.795454545,2.867647059,1.520588235
581,20,581,3,2,3,3,3,4,2,2,2,2,3,4,4,4,0,1,0,0,1,2.636363636,4,.4,2.795454545,2.867647059,1.520588235
582,20,582,1,1,1,1,1,3,1,1,1,1,1,4,3,4,0,0,0,0,0,1.181818182,3.666666667,0,2.795454545,2.867647059,1.520588235
583,20,583,4,4,3,3,3,3,4,4,4,4,3,2,2,3,2,1,1,1,1,3.545454545,2.333333333,1.2,2.795454545,2.867647059,1.520588235
584,20,584,3,3,3,2,3,3,3,4,3,3,3,3,3,3,2,1,1,1,1,3,3,1.2,2.795454545,2.867647059,1.520588235
585,20,585,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,4,2.795454545,2.867647059,1.520588235
586,20,586,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,4,2.795454545,2.867647059,1.520588235
587,20,587,2,2,4,4,3,4,4,4,2,4,2,3,4,4,1,0,0,0,1,3.181818182,3.666666667,.4,2.795454545,2.867647059,1.520588235
588,20,588,3,3,3,4,3,5,3,3,3,3,3,3,3,4,0,0,1,0,0,3.272727273,3.333333333,.2,2.795454545,2.867647059,1.520588235
589,20,589,3,3,3,4,4,5,3,3,3,4,4,4,4,3,0,0,0,0,0,3.545454545,3.666666667,0,2.795454545,2.867647059,1.520588235
590,20,590,4,4,4,5,5,5,5,5,5,5,5,2,5,5,3,3,3,1,4,4.727272727,4,2.8,2.795454545,2.867647059,1.520588235
591,20,591,3,2,2,3,4,3,5,5,3,4,3,4,5,5,0,0,0,0,0,3.363636364,4.666666667,0,2.795454545,2.867647059,1.520588235
592,20,592,5,5,5,5,5,5,4,5,4,5,5,5,5,5,1,0,0,0,0,4.818181818,5,.2,2.795454545,2.867647059,1.520588235
593,20,593,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0,4,4,4,1,1,3.2,2.795454545,2.867647059,1.520588235
594,20,594,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,2,2.795454545,2.867647059,1.520588235
595,20,595,1,4,1,3,3,3,3,3,3,3,3,3,3,3,0,1,1,1,1,2.727272727,3,.8,2.795454545,2.867647059,1.520588235
596,20,596,4,4,1,1,1,1,1,1,1,1,5,1,1,1,0,1,2,4,1,1.909090909,1,1.6,2.795454545,2.867647059,1.520588235
597,20,597,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,4,0,0,1,1,.8,2.795454545,2.867647059,1.520588235
598,20,598,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,0,2,2,0,3,3,1.6,2.795454545,2.867647059,1.520588235
599,20,599,2,4,2,5,4,4,3,3,4,4,5,4,4,4,0,0,0,0,0,3.636363636,4,0,2.795454545,2.867647059,1.520588235
600,20,600,1,1,1,5,1,5,1,1,3,3,3,1,1,3,4,4,4,4,2,2.272727273,1.666666667,3.6,2.795454545,2.867647059,1.520588235
601,20,601,1,1,3,1,1,4,1,3,2,1,2,1,1,1,4,4,4,4,4,1.818181818,1,4,2.795454545,2.867647059,1.520588235
602,20,602,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,4,2.795454545,2.867647059,1.520588235
603,20,603,4,4,3,4,3,4,4,4,4,4,3,4,3,3,0,0,0,0,0,3.727272727,3.333333333,0,2.795454545,2.867647059,1.520588235
604,20,604,5,5,1,1,2,5,1,3,2,3,1,1,3,2,4,4,4,4,1,2.636363636,2,3.4,2.795454545,2.867647059,1.520588235
605,20,605,2,2,1,1,1,1,1,1,1,1,1,1,3,1,0,0,0,0,0,1.181818182,1.666666667,0,2.795454545,2.867647059,1.520588235
606,20,606,4,4,2,4,2,2,1,4,4,1,2,1,4,4,4,4,3,3,4,2.727272727,3,3.6,2.795454545,2.867647059,1.520588235
607,20,607,2,5,3,4,4,5,4,4,4,4,4,4,4,4,1,2,0,0,3,3.909090909,4,1.2,2.795454545,2.867647059,1.520588235
608,20,608,4,4,2,3,3,4,4,4,4,4,3,3,4,4,1,0,1,1,0,3.545454545,3.666666667,.6,2.795454545,2.867647059,1.520588235
609,20,609,3,3,3,2,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,2.909090909,3,0,2.795454545,2.867647059,1.520588235
610,20,610,1,2,1,1,3,4,1,2,1,2,1,2,4,2,0,0,1,0,0,1.727272727,2.666666667,.2,2.795454545,2.867647059,1.520588235
611,20,611,5,5,1,1,2,5,5,5,1,3,1,1,1,1,1,4,4,3,0,3.090909091,1,2.4,2.795454545,2.867647059,1.520588235
612,20,612,2,4,4,1,3,3,3,4,3,4,4,4,2,2,3,1,1,1,1,3.181818182,2.666666667,1.4,2.795454545,2.867647059,1.520588235
613,20,613,4,4,4,3,5,5,4,3,3,4,4,4,4,5,1,0,0,0,1,3.909090909,4.333333333,.4,2.795454545,2.867647059,1.520588235
614,20,614,3,4,2,3,3,3,3,1,1,4,3,1,2,2,3,4,3,3,3,2.727272727,1.666666667,3.2,2.795454545,2.867647059,1.520588235
615,20,615,1,1,1,2,2,2,2,1,2,1,2,2,1,2,1,1,0,0,0,1.545454545,1.666666667,.4,2.795454545,2.867647059,1.520588235
616,20,616,4,4,3,4,3,4,3,4,3,4,3,4,4,4,1,0,0,0,0,3.545454545,4,.2,2.795454545,2.867647059,1.520588235
617,20,617,5,5,1,1,3,4,3,4,2,4,1,1,5,3,4,3,1,1,1,3,3,2,2.795454545,2.867647059,1.520588235
618,20,618,4,4,3,1,1,4,1,4,1,3,1,4,4,4,2,0,2,0,0,2.454545455,4,.8,2.795454545,2.867647059,1.520588235
619,20,619,3,2,1,1,1,2,2,2,1,1,1,2,3,2,2,1,2,2,1,1.545454545,2.333333333,1.6,2.795454545,2.867647059,1.520588235
620,20,620,4,4,4,4,4,4,4,4,4,4,2,4,4,4,1,0,0,0,0,3.818181818,4,.2,2.795454545,2.867647059,1.520588235
621,20,621,2,3,1,2,3,5,3,5,2,4,2,3,3,3,1,1,2,1,0,2.909090909,3,1,2.795454545,2.867647059,1.520588235
622,20,622,2,4,2,1,3,5,2,5,2,4,2,3,1,2,4,1,4,4,4,2.909090909,2,3.4,2.795454545,2.867647059,1.520588235
623,20,623,1,4,2,1,2,5,1,4,2,4,1,2,4,4,3,0,2,3,1,2.454545455,3.333333333,1.8,2.795454545,2.867647059,1.520588235
624,20,624,5,5,3,1,3,3,3,1,3,4,3,5,3,3,3,1,4,4,1,3.090909091,3.666666667,2.6,2.795454545,2.867647059,1.520588235
625,20,625,4,5,2,4,2,4,2,4,2,4,2,4,4,4,0,0,0,0,0,3.181818182,4,0,2.795454545,2.867647059,1.520588235
626,20,626,3,4,3,3,2,4,3,3,2,3,1,3,4,4,1,0,0,0,0,2.818181818,3.666666667,.2,2.795454545,2.867647059,1.520588235
627,20,627,1,5,1,1,3,3,1,3,3,4,2,3,3,3,0,4,2,2,0,2.454545455,3,1.6,2.795454545,2.867647059,1.520588235
628,20,628,5,5,2,4,3,5,3,5,2,5,2,2,2,4,4,3,3,4,3,3.727272727,2.666666667,3.4,2.795454545,2.867647059,1.520588235
629,20,629,4,5,3,3,4,4,4,4,4,4,3,3,3,4,1,0,0,0,0,3.818181818,3.333333333,.2,2.795454545,2.867647059,1.520588235
630,20,630,3,4,3,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,3.818181818,4,0,2.795454545,2.867647059,1.520588235
631,20,631,4,4,2,2,3,3,3,3,3,3,3,4,4,3,1,0,3,1,0,3,3.666666667,1,2.795454545,2.867647059,1.520588235
632,20,632,2,4,2,2,1,5,3,5,2,4,2,4,4,4,1,0,1,1,1,2.909090909,4,.8,2.795454545,2.867647059,1.520588235
633,20,633,4,3,3,3,2,3,3,4,2,3,3,4,2,4,2,2,2,2,1,3,3.333333333,1.8,2.795454545,2.867647059,1.520588235
634,20,634,3,4,2,4,3,4,2,4,2,4,4,4,4,4,1,0,1,0,1,3.272727273,4,.6,2.795454545,2.867647059,1.520588235
635,20,635,2,3,2,2,1,1,3,2,3,3,3,2,3,2,3,0,1,0,1,2.272727273,2.333333333,1,2.795454545,2.867647059,1.520588235
636,20,636,3,3,2,3,3,3,3,3,2,3,2,2,3,3,2,0,2,3,1,2.727272727,2.666666667,1.6,2.795454545,2.867647059,1.520588235
637,20,637,5,4,4,1,4,5,4,5,4,5,1,1,5,3,4,4,4,4,4,3.818181818,3,4,2.795454545,2.867647059,1.520588235
638,20,638,3,3,3,1,3,3,2,3,2,2,3,3,2,3,3,2,2,2,2,2.545454545,2.666666667,2.2,2.795454545,2.867647059,1.520588235
639,20,639,1,1,1,1,1,1,1,1,1,1,1,1,4,2,4,4,4,4,3,1,2.333333333,3.8,2.795454545,2.867647059,1.520588235
640,21,640,1,1,2,1,3,3,4,3,1,1,4,1,3,2,4,4,4,4,3,2.181818182,2,3.8,2.981132075,2.540880503,1.245283019
641,21,641,3,3,2,3,2,3,2,2,2,2,2,3,3,3,1,0,3,2,1,2.363636364,3,1.4,2.981132075,2.540880503,1.245283019
642,21,642,4,4,2,4,3,4,4,4,3,4,4,3,3,3,0,0,0,0,0,3.636363636,3,0,2.981132075,2.540880503,1.245283019
643,21,643,4,5,4,3,4,5,2,2,2,3,2,4,5,4,0,3,2,1,0,3.272727273,4.333333333,1.2,2.981132075,2.540880503,1.245283019
644,21,644,4,3,4,4,4,5,4,4,4,4,3,4,4,4,1,0,0,0,0,3.909090909,4,.2,2.981132075,2.540880503,1.245283019
645,21,645,2,2,1,1,2,4,1,4,1,2,1,1,1,1,3,1,2,2,1,1.909090909,1,1.8,2.981132075,2.540880503,1.245283019
646,21,646,4,5,4,3,3,4,4,4,2,4,2,2,3,2,2,0,4,1,0,3.545454545,2.333333333,1.4,2.981132075,2.540880503,1.245283019
647,21,647,2,2,1,1,3,4,2,2,1,4,2,2,2,3,4,0,3,1,0,2.181818182,2.333333333,1.6,2.981132075,2.540880503,1.245283019
648,21,648,4,4,4,4,4,4,4,4,4,2,4,4,2,4,3,1,4,4,2,3.818181818,3.333333333,2.8,2.981132075,2.540880503,1.245283019
649,21,649,4,5,1,1,1,4,2,3,1,4,1,1,1,1,0,0,0,0,0,2.454545455,1,0,2.981132075,2.540880503,1.245283019
650,21,650,4,4,4,4,3,3,4,4,4,4,4,2,3,3,1,0,0,0,0,3.818181818,2.666666667,.2,2.981132075,2.540880503,1.245283019
651,21,651,3,3,3,4,3,4,2,3,2,3,3,2,2,4,3,2,3,4,3,3,2.666666667,3,2.981132075,2.540880503,1.245283019
652,21,652,3,3,1,1,1,3,2,2,2,1,1,3,3,5,4,4,4,2,4,1.818181818,3.666666667,3.6,2.981132075,2.540880503,1.245283019
653,21,653,4,5,3,3,3,3,4,4,2,4,2,2,3,2,3,1,4,4,2,3.363636364,2.333333333,2.8,2.981132075,2.540880503,1.245283019
654,21,654,4,4,2,3,3,4,2,3,3,3,4,2,2,2,0,0,0,0,0,3.181818182,2,0,2.981132075,2.540880503,1.245283019
655,21,655,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,0,1.181818182,1,1,2.981132075,2.540880503,1.245283019
656,21,656,3,3,4,3,4,5,2,4,3,4,4,4,4,3,1,0,1,1,1,3.545454545,3.666666667,.8,2.981132075,2.540880503,1.245283019
657,21,657,2,2,3,3,3,3,3,4,3,4,3,3,3,3,0,0,0,0,0,3,3,0,2.981132075,2.540880503,1.245283019
658,21,658,4,3,4,3,2,4,2,2,2,3,2,3,4,4,2,2,2,1,3,2.818181818,3.666666667,2,2.981132075,2.540880503,1.245283019
659,21,659,4,4,3,4,3,4,4,4,4,4,4,1,2,4,3,1,2,1,0,3.818181818,2.333333333,1.4,2.981132075,2.540880503,1.245283019
660,21,660,3,4,1,3,3,5,3,4,3,3,3,2,3,2,0,0,0,0,0,3.181818182,2.333333333,0,2.981132075,2.540880503,1.245283019
661,21,661,4,4,5,2,3,4,3,4,3,3,3,3,3,3,0,0,0,0,0,3.454545455,3,0,2.981132075,2.540880503,1.245283019
662,21,662,3,3,3,3,3,3,1,1,1,1,3,1,1,1,0,0,0,0,0,2.272727273,1,0,2.981132075,2.540880503,1.245283019
663,21,663,4,4,4,3,5,5,4,5,4,4,2,3,3,3,3,1,1,0,0,4,3,1,2.981132075,2.540880503,1.245283019
664,21,664,4,4,4,4,3,1,1,3,2,2,4,1,2,3,4,4,4,4,4,2.909090909,2,4,2.981132075,2.540880503,1.245283019
665,21,665,3,4,3,1,3,4,3,1,3,3,3,1,1,1,2,2,4,1,4,2.818181818,1,2.6,2.981132075,2.540880503,1.245283019
666,21,666,3,3,2,1,3,3,2,3,3,3,3,2,3,3,0,0,0,0,0,2.636363636,2.666666667,0,2.981132075,2.540880503,1.245283019
667,21,667,2,4,3,3,3,5,3,4,3,4,4,2,5,3,0,0,1,0,0,3.454545455,3.333333333,.2,2.981132075,2.540880503,1.245283019
668,21,668,1,1,1,1,3,3,1,3,3,4,1,1,1,1,4,1,3,1,0,2,1,1.8,2.981132075,2.540880503,1.245283019
669,21,669,4,4,2,5,4,4,4,4,4,3,4,2,3,3,0,0,0,0,0,3.818181818,2.666666667,0,2.981132075,2.540880503,1.245283019
670,21,670,3,4,3,4,3,4,3,4,4,4,3,1,4,3,0,0,4,1,0,3.545454545,2.666666667,1,2.981132075,2.540880503,1.245283019
671,21,671,1,1,1,1,1,3,1,4,1,1,1,1,1,1,4,1,2,1,2,1.454545455,1,2,2.981132075,2.540880503,1.245283019
672,21,672,4,4,4,4,4,4,5,5,5,5,4,4,4,4,0,0,0,0,0,4.363636364,4,0,2.981132075,2.540880503,1.245283019
673,21,673,2,2,1,1,1,4,1,4,2,4,2,1,1,1,3,0,3,3,0,2.181818182,1,1.8,2.981132075,2.540880503,1.245283019
674,21,674,2,2,3,2,4,4,3,4,2,4,2,1,2,1,4,0,2,2,0,2.909090909,1.333333333,1.6,2.981132075,2.540880503,1.245283019
675,21,675,2,4,1,1,1,2,2,2,2,2,1,2,1,1,4,3,4,4,3,1.818181818,1.333333333,3.6,2.981132075,2.540880503,1.245283019
